#{"t_start": 1754390739.1912675, "env_id": "None"}
r,l,t
264.195357,7,8.747997
318.141638,7,8.762792
-83.94406,7,8.779253
697.018323,7,8.792407
352.580311,7,8.803686
132.784283,7,8.816819
107.748819,7,8.828003
376.721944,7,8.837297
568.851444,7,8.847264
14.086793,7,8.857566
26.241334,7,8.867532
122.976833,7,8.878656
337.483999,7,8.887962
98.278293,7,8.900018
16.782731,7,8.911848
227.509567,7,8.921423
344.329431,7,8.933106
1066.247008,7,8.94193
423.602163,7,8.951895
258.713468,7,8.962363
68.77911,7,8.972332
264.326155,7,8.985151
303.753068,7,8.993422
548.954833,7,9.004681
1120.274215,7,9.017564
-48.825233,7,9.027932
-102.281743,7,9.038188
504.893995,7,9.048986
-185.12982,7,9.061208
-87.075194,7,9.072892
577.725649,7,9.084574
311.184457,7,9.097942
-116.264612,7,9.109406
179.360595,7,9.1264
757.922044,7,12.055503
456.773107,7,12.063915
891.865658,7,12.073237
191.261269,7,12.08318
-358.674629,7,12.093075
-68.715968,7,12.104206
340.706975,7,12.113449
253.55487,7,12.123306
18.431811,7,12.130311
622.050256,7,12.136884
726.60916,7,12.147133
594.448849,7,12.153706
-23.016121,7,12.160526
-38.657889,7,12.168033
590.179154,7,12.175604
150.916653,7,12.18268
627.915764,7,12.189586
338.922552,7,12.196331
489.171882,7,12.202999
738.038806,7,12.209651
364.602102,7,12.218957
-404.857204,7,12.225784
121.210279,7,12.234194
-99.421092,7,12.24143
243.737068,7,12.250881
-173.667555,7,12.260032
301.214187,7,12.268988
291.607577,7,12.2763
200.680851,7,12.283241
423.760283,7,12.289918
671.903276,7,12.296254
580.615453,7,12.30255
-163.542531,7,12.308959
402.349605,7,12.315794
0.911846,7,12.322259
1188.361602,7,12.328923
-0.932183,7,12.338626
671.561533,7,12.345782
404.839919,7,12.35228
449.848422,7,12.358657
762.03659,7,12.366462
367.475691,7,12.372449
547.846058,7,12.379231
451.388373,7,12.386131
404.371421,7,12.392718
1030.30848,7,12.399555
579.540301,7,12.406051
227.398634,7,12.41349
36.671031,7,12.420469
364.589031,7,12.427123
369.425352,7,12.43706
604.983039,7,12.444924
890.034317,7,12.451266
123.811194,7,12.45865
848.715726,7,12.465132
-64.364363,7,12.473296
923.42567,7,12.480104
390.057339,7,12.486777
-361.442089,7,12.493679
141.27038,7,12.501204
515.673119,7,12.510195
472.601977,7,12.516292
469.082881,7,12.523127
901.517049,7,12.530174
506.768263,7,12.537628
151.041779,7,12.544459
403.23957,7,12.551876
109.56512,7,12.558591
470.108894,7,12.565219
262.000157,7,12.572441
221.794415,7,12.579282
43.288168,7,12.589508
533.485125,7,12.595839
719.179399,7,12.602704
189.181059,7,12.609078
-135.358192,7,12.615757
469.329597,7,12.622539
688.811669,7,12.62979
339.554825,7,12.637097
119.229092,7,12.645974
60.630652,7,12.653191
654.074286,7,12.659819
182.62833,7,12.669159
816.60744,7,12.675484
299.78449,7,12.682448
253.622167,7,12.689039
422.447857,7,12.697788
303.050909,7,12.705028
360.598765,7,12.713019
655.041468,7,12.721302
174.666138,7,12.730054
235.364456,7,12.737054
885.014879,7,12.744356
255.693569,7,12.751294
114.979218,7,12.761821
503.423748,7,12.771241
360.370732,7,12.777496
902.138639,7,12.785088
312.472532,7,12.792552
533.134356,7,12.799033
937.73948,7,12.807514
346.265829,7,12.814039
899.353314,7,12.821424
743.006608,7,12.827987
347.862718,7,12.83456
-328.697538,7,12.841428
856.326747,7,12.849137
13.414656,7,12.856787
400.246113,7,12.864462
62.124513,7,12.872572
770.623858,7,12.880121
1140.740211,7,12.886965
140.584365,7,12.893971
728.216068,7,12.902236
399.296928,7,12.908736
193.311071,7,12.917025
524.504222,7,12.92307
736.808113,7,12.929458
283.860613,7,12.936689
-43.139566,7,12.94436
